"country","England without London","London","Scotland","Wales","Great Britain"
"Fiscal year","(2014-15)","(2014-15)","(2014-15)","(2014-15)","(2014-15)"
"Parking income","862.15","581.68","75.38","33.91","1553.13"
"Parking expenditure","482.26","273.95","39.25","21.82","817.29"
"Surplus","379.89","307.73","36.13","12.10","735.84"
"Surplus as proportion of income","44.06289","52.90330","47.92518","35.67477","47.37811"
