"auth.name","2010","2011","2012","2013","2014","change","change.4"
"Cardiff",5012,6063,6178,6612.819,6900,4.34279238551667,8.3202134411388
"Swansea",4266,4610,4422,4618,5171,11.9748809008229,4.92728163043901
"Carmarthenshire",2022.15,2148.468,2137.105,2447.559,2815.358,15.0271760558172,8.62506889912899
"Gwynedd",1899,1968,2098,2097,2027,-3.3381020505484,1.64410496126904
"Pembrokeshire",1055,1334,1297,1360,1521,11.8382352941176,9.57694511272908
"Neath Port Talbot",1244.98,1664,1736,1507.012,1494,-0.863430417276034,4.66393427882818
"Conwy",1453,1381.567,1367.809,1391.697,1419.135,1.97154984166812,-0.587836776557367
"Rhondda Cynon Taf",1131.688,1084.802,1290.361,1384.112,1409.513,1.83518385795367,5.6417516704017
"Powys",1264.429,1251.317,1206.891,1196.459,1363,13.9194907639961,1.8944083622869
"Bridgend",1030.998,1057.613,1137.688,1356.798,1267.642,-6.57105921441511,5.30153433722131
"Denbighshire",1507.119,1495.248,1458,1300,1251,-3.76923076923077,-4.54966846834516
"Monmouthshire",1188.821,1260.321,1146.71,1182.541,1250.408,5.73908219672721,1.27070162467334
"Ceredigion",871,878.576,1032.172,1122.81,1150.479,2.46426376679938,7.20502321296668
"Wrexham",1006.455,1131.96,846.987,154.977,1044.501,573.971621595463,0.931940868496127
"Vale of Glamorgan",321,319,318,955,788,-17.4869109947644,25.1714537741441
"Merthyr Tydfil",689.1779,726.8506,885.0389,831.6895,744.608,-10.4704339780651,1.95278386684275
"Caerphilly",619,647,659.235,702,721,2.70655270655271,3.88698775891085
"Newport",1302,746,660.439,604.873,620.76,2.62650176152679,-16.904369957417
"Isle of Anglesey",366,344,330,388,456,17.5257731958763,5.65034980289884
"Flintshire",217,219,208.735,296.4271,450.0001,51.8080162036467,20.0019267435765
"Blaenau Gwent",0,0,0,30,38.483,28.2766666666667,NA
"Torfaen",7,5,7,9,12,33.3333333333333,14.4249684909703
"Total",28473.8179,30335.7226,30423.1709,31548.7736,33914.8871,7.4998588851644,4.46869463392154
