"country","England without London","London","Scotland","Wales","Great Britain"
"Average annual change in income","1.806841","2.158321","3.997797","5.582745","2.120323"
"Change in income since previous year","2.057476","2.936534","2.780164","7.499859","2.533758"
"Average annual change in expenditure","-1.5464283","-4.9053387"," 3.9807049"," 0.1398352","-2.4320343"
"Change in expenditure since previous year"," 0.2932283"," 1.9625577","-1.6436983","-1.9632735"," 0.6886955"
"Average annual change in surplus"," 6.602463"," 9.979134"," 4.016379","18.143725"," 8.008685"
"Change in surplus since previous year"," 4.388614"," 3.819398"," 8.061380","30.152500"," 4.663937"
