"rowname","2010","2011","2012","2013","2014","change"
"income.total",28.4738179,30.3357226,30.4231709,31.5487736,33.9148871,7.4998588851644
"expend.total",19.9980914,21.0588877,21.7549453,22.2527116,21.81583,-1.96327354550353
"surplus.total",8.4757265,9.2768349,8.6682256,9.296062,12.0990571,30.152500058627
"transport.total",330.697452,317.902348,314.685853,306.751212,278.887321,-9.08354715807937
"surplus.of.transport",2.56298512393739,2.91813978674986,2.75456475636355,3.03048908572853,4.33833171641388,43.1561570983498
