"country","England without London","London","Scotland","Wales","Great Britain"
"Fiscal year","(2017-18)","(2017-18)","(2017-18)","(2017-18)","(2017-18)"
"Parking income"," 980.42967"," 679.97468","  88.14700","  38.49377","1787.04512"
"Parking expenditure","513.33128","273.75651"," 43.58000"," 24.07351","854.74129"
"Surplus","467.09840","406.21817"," 41.24500"," 14.42026","928.98183"
"Surplus as proportion of income","47.64221","59.74019","46.79116","37.46129","51.98424"
