"auth.name","2013","2014","2015","2016","2017"
"Aberdeen City",19.9675760869565,18.7868270332188,17.5099478919943,20.0614427860697,20.6797546742884
"Argyll and Bute",NA,23.1553233830846,24.5947658402204,38.3381083562902,17.7737642585551
"Dundee City",14.7028848821082,19.3459752321981,24.7992865105909,27.040815782458,24.8696505692972
"East Ayrshire",26.85692431562,16.7891493636973,13.392997382199,13.7558659217877,10.3851727447217
"East Dunbartonshire",NA,NA,NA,77.9413043478261,53.0798761609907
"East Lothian",NA,NA,NA,33.5357142857143,60.8506550218341
"East Renfrewshire",72.4602150537634,99.2431279620853,98.7962085308057,97.9481481481481,98.6725388601036
"Edinburgh City",21.2719760672704,19.801235807523,18.8834909064665,18.5569458225838,18.1327742965966
"Fife",14.3291820935712,17.7279830405815,16.8768762677485,17.6730025959042,16.3809164571109
"Glasgow City",24.2323819117976,24.1079278779473,20.4092524321557,23.7871949710439,22.0092402668525
"Highland",NA,NA,NA,3.88842975206612,11.7546423811639
"Inverclyde",NA,84.4394904458599,84.6335365853659,81.5189610389611,70.5265151515152
"Perth and Kinross",14.7068565750248,11.8730109739369,10.3773459383754,10.7830292598967,16.0188527131783
"Renfrewshire",28.5592662276576,21.8986829727187,20.4146341463415,15.504752851711,17.6120470127326
"South Ayrshire",29.8332929782082,33.0285161290323,NA,16.6598146588037,21.7557562076749
"South Lanarkshire",28.4718186024988,31.9290661990355,30.3328188464663,32.1488095238095,30.690021978022
"Scottish DPE authorties",19.7189525640501,19.6825723003449,18.9636280636782,20.0028482507236,19.9554554214136
"London",42.86075797044,40.3615721304768,49.293298662975,42.0115310284194,43.125987207721
"England without London",11.9572950366548,10.8661561623561,11.4887200375256,12.7618887614874,13.7700928213887
