"auth.name","income.total","expend.total","surplus.total","income.tfs","expend.tfs","surplus.tfs","income.diff","expend.diff","surplus.diff"
"Aberdeenshire",443,625,-182,NA,NA,NA,NA,NA,NA
"Angus",0,159,-159,219.31,297.721,-78.411,-219.31,-138.721,-80.589
"Argyll and Bute",1052,705,347,1051.496,315.82,735.676,0.503999999999905,389.18,-388.676
"Clackmannanshire",0,0,0,NA,NA,NA,NA,NA,NA
"Dumfries and Galloway",17,213,-196,NA,NA,NA,NA,NA,NA
"Dundee City",5094,3401,1693,5096.284,4029.566,1066.718,-2.28399999999965,-628.566,626.282
"East Ayrshire",2084,1698,386,1284.28,695.105,589.175,799.72,1002.895,-203.175
"East Dunbartonshire",323,513,-190,223.087,229.106,-6.01900000000001,99.913,283.894,-183.981
"East Lothian",458,463,-5,333.696,433.902,-100.206,124.304,29.098,95.206
"East Renfrewshire",193,336,-143,190.438,184.463,5.97499999999999,2.56200000000001,151.537,-148.975
"Edinburgh City",32556,8737,23819,31068.797,7620.553,23448.244,1487.203,1116.447,370.756000000001
"Eilean Siar",47,130,-83,NA,NA,NA,NA,NA,NA
"Falkirk",411,275,136,NA,NA,NA,NA,NA,NA
"Fife",3579,3204,375,3434.242,2679.017,755.225,144.758,524.983,-380.225
"Glasgow City",20086,7544,12542,20108.173,6691.598,13416.575,-22.1729999999989,852.402,-874.574999999999
"Highland",2251,1607,644,675.373,648.039,27.3340000000001,1575.627,958.961,616.666
"Inverclyde",396,397,-1,352.817,350.465,2.35200000000003,43.183,46.535,-3.35200000000003
"Midlothian",0,211,-211,NA,NA,NA,NA,NA,NA
"Moray",676,434,242,NA,NA,NA,NA,NA,NA
"North Ayrshire",185,437,-252,NA,NA,NA,NA,NA,NA
"North Lanarkshire",0,0,0,0,213.623,-213.623,0,-213.623,213.623
"Orkney Islands",149,134,15,NA,NA,NA,NA,NA,NA
"Perth and Kinross",3225,2499,726,3226.723,2684.135,542.588,-1.72299999999996,-185.135,183.412
"Renfrewshire",1021,424,597,1020.709,452.385,568.324,0.291000000000054,-28.385,28.676
"Scottish Borders",165,387,-222,NA,NA,NA,NA,NA,NA
"Shetland Islands",28,24,4,NA,NA,NA,NA,NA,NA
"South Ayrshire",886,579,307,799.716,400.719,398.997,86.284,178.281,-91.997
"South Lanarkshire",2275,1502,773,2274.814,2272.117,2.69699999999966,0.186000000000149,-770.117,770.303
"Stirling",2218,1693,525,1864.983,1761.923,103.06,353.017,-68.923,421.94
"West Dunbartonshire",0,98,-98,NA,NA,NA,NA,NA,NA
"West Lothian",0,144,-144,NA,NA,NA,NA,NA,NA
"Aberdeen City",8397,5075,3322,8396.757,4146.126,4250.631,0.243000000000393,928.874,-928.630999999999
"Total",88215,43648,44567,81621.695,36106.383,45515.312,4472.305,4429.617,42.6880000000031
