"country","England without London","London","Scotland","Wales","Great Britain"
"Change in income","16.05836","20.33076","24.33545","22.01351","18.13936"
"Change in expenditure","6.754083","1.889425","8.175306","8.182346","5.237248"
"Change in surplus","28.35230","37.04697","44.48609","55.12225","33.05972"
