"auth.name","2012","2013","2014","2015","2016","change","change.4"
"Westminster",77.939,80.626,74.301,76.40799078,88.20034234,15.4334009304779,3.14041164355399
"Kensington & Chelsea",44.53,47.084,45.625,46.124,44.705,-3.07648946318621,0.098103911779468
"Camden",37.09,38.794,38.083,38.093,39.97550151,4.94185679783688,1.89063571250223
"Hammersmith & Fulham",31.699,34.735,36.354,35.604,35.421,-0.513987192450287,2.81436889280724
"Islington",25.528,25.712,27.442,29.674,32.576,9.77960504145044,6.28457524889861
"Wandsworth",28.248,29.59,30.233,30.407,30.063,-1.13131844641036,1.56899449409715
"Hackney",18.347,18.618,20.559,23.348,26.834,14.9306150419736,9.97148475438132
"Lambeth",24.812,24.68,25.548,27.549,26.61946343,-3.37412091182982,1.77342289155349
"Haringey",15.222,16.297,25.834,25.372,25.904426542,2.09848077408165,14.215636999835
"Brent",15.895,13.746,17.817,18.50607772,20.294,9.66127078385577,6.29841306060421
"Ealing",19.403,18.924,20.545,21.438,18.563,-13.4107659296576,-1.10033506334446
"Tower Hamlets",18.166,16.076,17.976,17.79196947,18.543,4.22117703869912,0.514836860382739
"Newham",16.421,15.998,15.575,16.374,18.044648,10.2030536215952,2.38520481004487
"Barnet",14.299,12.589,14.585,11.992,17.235,43.7208138759173,4.77952019383727
"Merton",11.198,11.398,11.964,11.764406,15.939,35.484953511465,9.22703678706018
"Southwark",9.552,10.32,7.974,12.183,14.712,20.75843388328,11.4023495797622
"Waltham Forest",9.832,10.576,10.114,14.525,13.776,-5.1566265060241,8.79785072310564
"Croydon",12.061,11.84,13.47,12.144,13.75875639,13.2967423418972,3.34725977895884
"Richmond upon Thames",11.372,11.957,11.407,12.446,13.504,8.50072312389523,4.38939835874756
"Harrow",10.184,10.047,10.473,11.535525697,13.3288982862,15.5465180894738,6.95940191077136
"Hounslow",11.721,12.433,12.864,11.8293333333333,13.104,10.775473399459,2.82762489499129
"City of London",11.283,11.455,11.121,10.88,11.975,10.0643382352941,1.49922670402456
"Kingston upon Thames",9.553,10.418,9.778,10.706,11.79,10.1251634597422,5.40070283022083
"Bromley",10.575,10.324,10.556,11.541,11.22,-2.78138809461919,1.49113753856032
"Redbridge",8.141,8.324,8.489,8.248,10.224,23.9573229873909,5.86094621468707
"Greenwich",9.485,8.961,8.647,5.242,8.93,70.3548264021366,-1.49607610683257
"Lewisham",7.877,7.549,8.487,8.768,7.9,-9.89963503649636,0.0729175407171656
"Havering",3.607,3.646,4.318,5.884,7.286,23.8273283480625,19.2163321771254
"Hillingdon",9.745,9.358,7.099,7.34,7.159,-2.46594005449592,-7.41990336970438
"Enfield",10.395,9.555,10.498,8.039,6.83291394,-15.00293643488,-9.95795202936064
"Barking & Dagenham",5.792,6.049,6.706,7.144,6.374,-10.7782754759239,2.42261893148461
"Bexley",4.555,4.642,4.894,4.798,5.64,17.5489787411421,5.48669378358697
"Sutton",2.836,2.767,2.346,2.489,2.536,1.88830855765367,-2.75646103006366
"Total for London",557.363,565.088,581.682,596.187303000333,638.9679504382,7.175705893529,3.47495233681703
"Total for rest of England",829.544,842.385,859.703,896.160161262636,935.813474829868,4.42480209244765,3.05936612412514
"Total for all of England",1386.907,1407.473,1441.385,1492.34746426297,1574.78142526807,5.52377800606978,3.226983332803
