"auth.name","2012","2013","2014","2015","2016"
"Ealing",78.4105550688038,75.1162544916508,68.6347043076174,79.158503591753,103.431557399127
"Havering",81.2586637094538,88.3708173340647,90.4817044928208,67.0122365737593,68.8306340927807
"Hillingdon",85.9928168291432,87.2194913443043,76.4614734469644,74.1008174386921,68.0681659449644
"Enfield",69.5430495430495,72.0879120879121,72.1375500095256,83.6795621345939,67.2162529113004
"Waltham Forest",77.8885272579333,70.196671709531,67.1247775360886,60.5851979345955,62.616144018583
"Greenwich",77.2166578808645,78.2390358218949,74.511391233954,57.9931323922167,61.545352743561
"Lambeth",51.620183782041,70.7495948136143,62.0987944261782,63.9115757377763,55.2077243729777
"Southwark",82.8622278056951,61.6666666666667,81.7281163782292,57.539193958795,53.2626427406199
"Croydon",78.6087389105381,73.7077702702703,67.6911655530809,65.6126482213439,51.2836419222334
"Barking & Dagenham",60.9633977900553,64.5065300049595,57.9033701163137,56.0750279955207,51.0511452776906
"Bexley",60.5927552140505,64.4118914261094,59.971393543114,60.5252188411838,50.8510638297872
"Newham",50.2892637476402,54.9818727340918,52.9566613162119,53.0230853792598,50.753553075682
"Barnet",94.3142877124274,37.4136150607673,97.6276996914638,44.1044029352902,49.852045256745
"Tower Hamlets",61.460971044809,48.2582732022891,44.1588785046729,46.7237994310699,48.7461575796797
"Brent",83.2274300094369,39.5460497599302,41.0338440814952,57.021915716887,48.0930324233764
"Redbridge",50.3992138557917,54.0845747236905,64.3303098126988,58.4990300678953,47.9362284820031
"Hackney",57.7260587561999,55.8545493608336,47.6725521669342,44.663354462909,45.9454423492584
"Bromley",46.241134751773,46.0480433940333,47.271693823418,48.7739364006585,45.427807486631
"City of London",66.3830541522645,51.3836752509821,47.1180649222192,51.6176470588235,45.3110647181628
"Kingston upon Thames",40.8458075997069,44.7878671530044,45.3057885048067,47.7489258359798,43.6301950805768
"Haringey",65.7535146498489,65.0242375897404,37.5048385848107,41.206842188239,43.5035518059898
"Islington",67.8157317455343,59.6258556316117,49.959915458057,47.657882321224,41.3341110019646
"Richmond upon Thames",46.2891311994372,41.1223551057958,44.525291487683,40.044994375703,38.8181279620853
"Harrow",36.3216810683425,35.82163829999,37.324548839874,36.1249753193628,35.9138323994573
"Merton",38.6676192177174,38.4541147569749,39.6021397525911,43.2118374697371,35.836627140975
"Hammersmith & Fulham",38.8151045774315,33.8995249748093,34.5684106288166,36.3217615998202,34.8493831342989
"Camden",36.5570234564573,35.8947259885549,35.7508599637634,33.772609140787,33.0810160485214
"Wandsworth",43.7588501840838,33.4504900304157,32.689445308107,30.3647186503108,31.7899078601603
"Sutton",39.8095909732017,33.1767256956993,37.4254049445865,35.1948573724387,31.5457413249211
"Lewisham",37.9713088739368,30.2556630017221,46.6124661246612,44.2632299270073,31.4683544303797
"Kensington & Chelsea",31.6483269705816,28.8250785829581,27.6778082191781,25.7718324516521,28.0304216530589
"Westminster",49.0575963253313,36.699079701337,37.5163187574864,26.8729413512789,17.0172154968985
"Hounslow",45.3374285470523,37.1511300571061,40.4928482587065,39.1709873760144,8.63858363858364
"Total for London",54.3532670808791,47.5465768163543,47.0966954452777,44.3708153237069,40.7716737754067
"Total for rest of England",59.863370719335,56.9689631225627,55.980728228237,53.3518381854933,52.8357389215092
"Total for all of England",57.6489988153496,53.1859580965319,52.3955084866292,49.7639527054874,47.9407415227141
