"variable","2012","2013","2014","2015","2016","2017"
"Income",267.479,234.584,257.401,258.403,249.649,235.464
"Expenditure",118.462,80.56,65.494,90.171,71.35,59.76
"Surplus",149.017,154.024,191.907,168.232,178.299,175.704
"Budgeted surplus",136.284,154.271,192.437,183.915,202.66,210.028
"Expenditure as \% of income",44.2883366544663,34.3416430788119,25.444345593063,34.8954926993882,28.5801264976026,25.379675874019
