"auth.name","2012","2013","2014","2015","2016","change"
"Westminster",39.704,51.037,46.426,55.87491623,73.191100015,30.9909794114424
"Kensington & Chelsea",30.437,33.512,32.997,34.237,32.174,-6.02564477027777
"Camden",23.531,24.869,24.468,25.228,26.75119944,6.03773362930078
"Hammersmith & Fulham",19.395,22.96,23.787,22.672,23.077,1.78634438955541
"Wandsworth",15.887,19.692,20.35,21.174,20.506,-3.15481250590347
"Islington",8.216,10.381,13.732,15.532,19.111,23.0427504506825
"Haringey",5.213,5.7,16.145,14.917,14.6350809212565,-1.88991807161993
"Hackney",7.756,8.219,10.758,12.92,14.505,12.2678018575851
"Hounslow",6.407,7.814,7.655,7.19566666666667,11.972,66.377912632603
"Lambeth",12.004,7.219,9.683,9.942,11.92346343,19.9302296318648
"Brent",2.666,8.31,10.506,7.95355768,10.534,32.4438751037008
"Merton",6.868,7.015,7.226,6.68079,10.227,53.0806985401427
"Tower Hamlets",7.001,8.318,10.038,9.47888534,9.504,0.264953727143613
"Newham",8.163,7.202,7.327,7.692,8.886348,15.5271450858035
"Barnet",0.813,7.879,0.346,6.703,8.643,28.942264657616
"Harrow",6.485,6.448,6.564,7.368319886,8.541980095,15.9284643875191
"Richmond upon Thames",6.108,7.04,6.328,7.462,8.262,10.7209863307424
"Southwark",1.637,3.956,1.457,5.173,6.876,32.9209356272956
"Croydon",2.58,3.113,4.352,4.176,6.70276503,60.5068254310344
"Kingston upon Thames",5.651,5.752,5.348,5.594,6.646,18.8058634250983
"City of London",3.793,5.569,5.881,5.264,6.549,24.411094224924
"Bromley",5.685,5.57,5.566,5.912,6.123,3.56901217861976
"Lewisham",4.886,5.265,4.531,4.887,5.414,10.7837118886843
"Redbridge",4.038,3.822,3.028,3.423,5.323,55.5068653228162
"Waltham Forest",2.174,3.152,3.325,5.725,5.15,-10.0436681222707
"Greenwich",2.161,1.95,2.204,2.202,3.434,55.9491371480472
"Barking & Dagenham",2.261,2.147,2.823,3.138,3.12,-0.573613766730396
"Bexley",1.795,1.652,1.959,1.894,2.772,46.3569165786695
"Hillingdon",1.365,1.196,1.671,1.901,2.286,20.2524986849027
"Havering",0.676,0.424,0.411,1.941,2.271,17.0015455950541
"Enfield",3.166,2.667,2.925,1.312,2.2400852248781,70.7382031157089
"Sutton",1.707,1.849,1.468,1.613,1.736,7.62554246745195
"Ealing",4.189,4.709,6.444,4.468,-0.637,NA
"Total deficit",NA,NA,NA,NA,-0.637,NA
"Total surplus",254.418,296.408,307.729,331.654135802667,379.087022156135,14.3019131176131
"Total",254.418,296.408,307.729,331.654135802667,378.450022156135,14.1098455595052
