"variable","2014","2015","2016","2017","2018","2019"
"Income",257.401,258.403,249.649,235.464,229.864,NA
"Expenditure",65.494,90.171,71.35,59.76,69.648,NA
"Surplus",191.907,168.232,178.299,175.704,160.216,NA
"Budgeted surplus",192.437,183.915,202.66,210.028,168.544,257.069
"Expenditure as \% of income",25.444345593063,34.8954926993882,28.5801264976026,25.379675874019,30.2996554484391,NA
