"country","England without London","London","Scotland","Wales","Great Britain"
"Fiscal year","(2018-19)","(2018-19)","(2017-18)","(2018-19)","(2017-18)"
"Parking income","1021.30190"," 727.96005","  88.21500","  41.92902","1787.11312"
"Parking expenditure","539.63608","273.54085"," 43.64800"," 25.84438","854.80929"
"Surplus","481.66582","454.41920"," 44.56700"," 16.08464","932.30383"
"Surplus as proportion of income","47.16194","62.42365","50.52089","38.36159","52.16815"
