"country","England without London","London","Scotland","Wales","Great Britain"
"Most recent year available","(2018-19)","(2018-19)","(2017-18)","(2017-18)","(2017-18)"
"Average annual change in income","4.325944","5.768289","4.724646","5.099822","4.220395"
"Change in income since previous year","4.168808","7.056936","6.827567","2.896718","5.270781"
"Average annual change in expenditure"," 2.84993807","-0.03763243"," 2.26350064"," 1.98565712"," 1.30219645"
"Change in expenditure since previous year"," 5.12433335","-0.07877651"," 9.19643751"," 2.74372920"," 4.30589866"
"Average annual change in surplus"," 6.113830","10.235649"," 7.452372","11.601113"," 7.310492"
"Change in surplus since previous year"," 3.118705","11.865799"," 4.605093"," 3.153139"," 6.171282"
