"auth.name","2014","2015","2016","2017","2018","change","change.4"
"Westminster",74.301,76.40799078,88.20034234,88.82898869,86.56894332,-2.54426556389966,3.89433422839742
"Kensington & Chelsea",45.625,46.124,44.705,46.736,49.741,6.42973296816159,2.18282580541065
"Camden",38.083,38.093,39.97550151,36.369,39.494,8.5924826088152,0.913668027832393
"Hammersmith & Fulham",36.354,35.604,35.421,36.732,39.309,7.01568114995099,1.97294176342719
"Islington",27.442,29.674,32.576,32.867,36.081,9.77880548878815,7.08180950242219
"Wandsworth",30.233,30.407,30.063,31.923,34.315,7.493030103687,3.21687109819251
"Lambeth",25.548,27.549,26.61946343,21.406276,33.31,55.6085701221455,6.85735776796264
"Ealing",20.545,21.438,18.563,24.514,29.971,22.2607489597781,9.90027319664586
"Hackney",20.559,23.348,26.834,27.61,28.416,2.91923216226004,8.42769847715543
"Haringey",25.834,25.372,25.904426542,27.52468868,28.37146,3.07640653031358,2.36995384970136
"Newham",15.575,16.374,18.044648,25.306,23.697,-6.35817592665772,11.062214388426
"City of London",11.121,10.88,11.975,24.054,23.421,-2.63157894736842,20.466251929615
"Barnet",14.585,11.992,17.235,20.42211325,21.57278653,5.63444764953501,10.2808114848669
"Brent",17.817,18.50607772,20.294,21.098,20.942,-0.739406578822638,4.12281329820392
"Tower Hamlets",17.976,17.79196947,18.543,19.25134432,20.2527,5.20148444365884,3.02614920308855
"Waltham Forest",10.114,14.525,13.776,16.404,19.684,19.9951231406974,18.1129731555871
"Merton",11.964,11.764406,15.939,18.416,18.665,1.35208514335361,11.7603871305039
"Croydon",13.47,12.144,13.75875639,14.14129999,18.20724778,28.7522914645417,7.82492796955869
"Richmond upon Thames",11.407,12.446,13.504,15.515,15.57,0.354495649371572,8.088450920348
"Southwark",7.974,12.183,14.712,15.213,14.814,-2.62275685269178,16.747886505213
"Hounslow",12.864,11.8293333333333,13.104,12.846,14.071,9.53604234781255,2.26740426822007
"Harrow",10.473,11.535525697,13.3288982862,11.9857634227,13.167,9.85533032516595,5.88975244975023
"Redbridge",8.489,8.248,10.224,11.673,12.534,7.37599588794654,10.2321528156262
"Kingston upon Thames",9.778,10.706,11.79,11.837,11.70376492,-1.12558148179436,4.59691830314335
"Havering",4.318,5.884,7.286,11.412,11.246,-1.45460918331581,27.0365995573965
"Bromley",10.556,11.541,11.22,9.728,10.1,3.82401315789474,-1.097903430209
"Lewisham",8.487,8.768,7.9,8.979,9.92015001,10.4816795857,3.9778921986134
"Greenwich",8.647,5.242,8.93,8.416,9.421,11.9415399239544,2.16635192250525
"Barking & Dagenham",6.706,7.144,6.374,6.814,8.648,26.9151746404461,6.56461811947675
"Hillingdon",7.099,7.34,7.159,7.23396574,7.642,5.6405334869612,1.85971678105721
"Enfield",10.498,8.039,6.83291394,6.772238,7.557,11.5879270634021,-7.8891662358435
"Bexley",4.894,4.798,5.64,5.604,7.259,29.5324768022841,10.3578441339948
"Sutton",2.346,2.489,2.536,2.342,2.288,-2.30572160546542,-0.623887606404783
"Total for London",581.682,596.187303000333,638.9679504382,679.9746780927,727.96005256,7.05693550264211,5.76828944253112
"Total for rest of England",859.703,896.160161262636,935.813474829868,977.450674104233,1018.00390000944,4.14887696940471,4.31583767928252
"Total for all of England",1441.385,1492.34746426297,1574.78142526807,1657.42535219693,1745.96395256944,5.34193592822403,4.90925880182944
