"auth.name","2014","2015","2016","2017","2018","change","change.4","prop.income"
"Westminster",27.875,20.53307455,15.009242325,31.24659359,17.37773284,-44.385192613247,-11.1424038753117,20.0738650300531
"Ealing",14.101,16.97,19.2,17.703,17.182,-2.94300401061967,5.06448850097623,57.3287511260885
"Lambeth",15.865,17.607,14.696,9.26371385,16.337,76.3547564673535,0.735618703428487,49.0453317322126
"Camden",13.615,12.865,13.22430207,16.77,13.517,-19.3977340488968,-0.180436358121538,34.2254519673874
"Hammersmith & Fulham",12.567,12.932,12.344,12.915,13.243,2.53968253968256,1.31848587840178,33.6894858683762
"Islington",13.71,14.142,13.465,12.353,12.899,4.41997895248116,-1.51283256528419,35.7501177905269
"Hackney",9.801,10.428,12.329,11.997,12.88,7.36017337667751,7.06841373385394,45.3265765765766
"Kensington & Chelsea",12.628,11.887,12.531,12.269,12.4,1.06773168147363,-0.454466613053683,24.9291329084659
"Haringey",9.689,10.455,11.2693456207435,10.6838735078249,10.75627,0.677624010824474,2.64686380940011,37.9122893217339
"Waltham Forest",6.789,8.8,8.626,9.562,10.205,6.72453461618909,10.726558068322,51.8441373704532
"Brent",7.311,10.55252004,9.76,9.228,9.94647184873719,7.78578076221493,7.99982915404365,47.4953292366402
"City of London",5.24,5.616,5.426,9.671,9.535,-1.4062661565505,16.1441533828252,40.7113274411853
"Newham",8.248,8.682,9.1583,6.329,9.407,48.6332753989572,3.34170509284168,39.697008060092
"Southwark",6.517,7.01,7.836,8.322,9.301,11.7639990386926,9.3000802571745,62.7852031861752
"Tower Hamlets",7.938,8.31308413,9.039,8.66052631,8.542,-1.36858091249191,1.85025440429067,42.1770924370578
"Wandsworth",9.883,9.233,9.557,7.707,7.967,3.3735565070715,-5.2451375632796,23.2172519306426
"Barnet",14.239,5.289,8.592,9.73233223768757,7.87730403,-19.0604693960626,-13.7568661179617,36.5150047679075
"Croydon",9.118,7.968,7.05599136,6.44259711,7.57202478,17.5306270237966,-4.53853177154777,41.5879701945815
"Richmond upon Thames",5.079,4.984,5.242,5.7,6.967,22.2280701754386,8.22233485336754,44.7463070006423
"Havering",3.907,3.943,5.015,6.64,6.961,4.8343373493976,15.533267352623,61.8975635781611
"Merton",4.738,5.083616,5.712,6.137,6.491,5.76829069577971,8.18801141762327,34.7763193142245
"Enfield",7.573,6.727,4.5928287151219,7.120843587,5.729,-19.5460491442473,-6.73843126672474,75.8105068148736
"Greenwich",6.443,3.04,5.496,4.994,5.55,11.1333600320384,-3.66120432084738,58.9109436365566
"Redbridge",5.461,4.825,4.901,4.18,5.369,28.444976076555,-0.423855479568613,42.8354874740705
"Kingston upon Thames",4.43,5.112,5.144,4.317,5.30384243,22.8594493861478,4.60362178661915,45.3174039828544
"Hillingdon",5.428,5.439,4.873,4.84468328,4.957,2.31835010688253,-2.24369674099917,64.8652185291808
"Harrow",3.909,4.167205811,4.7869181912,4.938344336,4.704599671,-4.73325975461101,4.74040548303587,35.7302321789322
"Barking & Dagenham",3.883,4.006,3.254,3.534,3.924,11.0356536502547,0.262932336185395,45.3746530989824
"Bromley",4.99,5.629,5.097,3.532,3.77,6.73839184597962,-6.76903034668276,37.3267326732673
"Bexley",2.935,2.904,2.868,2.533,2.466,-2.6450848795894,-4.25937865598682,33.9716214354594
"Lewisham",3.956,3.881,2.486,2.973,2.40560639,-19.084884291961,-11.6936221091756,24.2496977119805
"Hounslow",5.209,4.63366666666667,1.132,0.603,1.024,69.8175787728026,-33.4134674621669,7.2773790064672
"Sutton",0.878,0.876,0.8,0.854,0.974,14.0515222482436,2.62805783104834,42.5699300699301
"Total for London",273.953,264.533167197667,260.517928282065,273.756507808512,273.540851989737,-0.0787765085482874,-0.0376324346907375,37.5763547776808
"Total for rest of England",481.268,478.117919119698,494.443964353412,512.126278100868,538.300084002614,5.11081095053476,2.83936004101824,52.8779982078285
"Total for all of England",755.221,742.651086317365,754.961892635477,785.882785909381,811.840935992351,3.30305619977828,1.82378160761958,46.4981499072539
