"auth.name","2014","2015","2016","2017","2018","change","change.4","prop.income"
"Reading",3702,3400.9584748339,7628,3363.42543,3623,7.71756577936085,-0.537818605244633,44.0218712029162
"East Hertfordshire",3446,3571,3699,3499,3494,-0.142897970848807,0.346425511092696,70.3867848509267
"King's Lynn & West Norfolk",2431,2666,2734,2590,3461.826,33.6612355212355,9.23959192714912,52.8658406129325
"Bedford",3193,3163,3280,3325,3437.52181192675,3.3841146444136,1.86186794246717,63.835190506455
"Coventry",2769,2889,3003,3343,3399,1.67514208794498,5.25846981426623,55.5392156862745
"Durham",3387,3315,3461,3377,3397,0.592241634586912,0.073730050819476,85.1378446115288
"Ipswich",2263,2344,2578,2577,3336,29.4528521536671,10.1882718982363,69.8638743455497
"West Sussex",3637,3685,2926,3067,3287,7.17313335507011,-2.4978705617707,76.3885661166628
"Cheshire East",2950,3140,3571,3857,3281,-14.9338864402385,2.69423252588414,55.469146238377
"Poole",2691,2807,2859,2868,3179,10.8437935843794,4.25435543237955,45.9991318188395
"Hampshire",2183,2747,2882,2952,3149,6.67344173441735,9.59222170229477,96.7434715821813
"Kirklees",3502,3370,2948,3091,3147,1.81171142025234,-2.63673026882838,63.9894265961773
"Bradford",3473,3007,2762,2795,3108,11.1985688729875,-2.7378071806624,77.6223776223776
"Tunbridge Wells",3325,3032,3618,3161,3008,-4.8402404302436,-2.47374547028565,44.0281030444965
"Southend-on-Sea",3725,3370,2924,2821,2990,5.99078341013825,-5.34659800721658,36.8317319536832
"St Edmundsbury",2679,2798,2711,2740,2981,8.7956204379562,2.7063547680281,53.2036409066571
"Swindon",3369,3507,3102,2773,2934,5.80598629642985,-3.39718661987969,48.6567164179104
"Blackpool",2546,2346,2702,2730,2932,7.3992673992674,3.59204145688961,43.6439416493004
"Chelmsford",3798,2857,3106,3096.49,2834.09,-8.47411100956242,-7.05743168535112,36.6692112617741
"Horsham",2221,2463,2457,2819,2831,0.425682866264637,6.25462128359004,57.088122605364
"South Lakeland",2489,2910,2330,2958,2823,-4.56389452332657,3.1980510257329,55.6914578812389
"York",2343,2475,2447,2578,2776,7.68037238169124,4.33062121271004,32.4147594581971
"Stockport",2199,2213,2558,2860,2727.5,-4.63286713286713,5.53217342256715,59.0035910526544
"Winchester",1943,2400,2531,2522,2708,7.37509912767645,8.65356111092834,36.7984780540834
"Derby City",2257,2318,2435,2063.51,2646,28.2281161709902,4.05538733994959,49.6156009750609
"Wycombe",2116,2196,2138,3005,2561,-14.7753743760399,4.88743833636711,83.257477243173
"Exeter",2234,2076,2203,2309,2548,10.3508012126462,3.34252384109555,30.5698860227954
"Lancashire",1725,1813,1802,2124,2546,19.8681732580038,10.2217558126303,70.5458575782765
"Solihull",2442,2273,1852,2012,2534.08345311726,25.9484817652716,0.929660723636871,57.3733590913955
"East Riding of Yorkshire",2075,2056,2557,2696,2530,-6.15727002967358,5.08134066489629,59.1397849462366
"Shropshire",1676,2479,2435,2317.7254856,2523.989311,8.89940705581887,10.7779628077134,45.8752552073361
"Northampton",1627,2035,2161,2477,2518,1.65522809850627,11.5365079461792,57.7258138468592
"Bexley",2935,2904,2868,2533,2466,-2.64508487958942,-4.25937865598682,33.9716214354594
"Sefton",2597,2554,2563,2423,2457,1.40321914981428,-1.37584353240198,50.5035971223022
"Milton Keynes",2876,3065,2733,2743,2441,-11.0098432373314,-4.01691059921345,16.7974126066612
"Stevenage",1487,1587,1912.7,2231,2440,9.36799641416405,13.1800064773467,49.3228219122701
"Luton",1763,1923,2805,2233,2416,8.19525302283924,8.19598734106697,70.4578594342374
"Lewisham",3956,3881,2486,2973,2405.60639,-19.084884291961,-11.6936221091756,24.2496977119805
"West Dorset",0,1890,2028,1947.942,2394.367,22.9177768126567,NA,60.8925210827747
"Crawley",1345,534,1799,2083,2364,13.4901584253481,15.1413446545606,108.839779005525
"Sunderland",2331,2140,2195,2216,2356,6.31768953068593,0.267053597928402,78.8751255440241
"Torbay",2781,2906,2574,2598,2349,-9.58429561200924,-4.13269759952172,30.4748313440581
"Wakefield",2452,2585,2217.828526736,2166,2338,7.94090489381347,-1.1831489662815,65.4901960784314
"Lincoln",1797,2037,1819,1992,2332,17.0682730923695,6.73211543453083,44.8461538461538
"Slough",2245,2319.57247,2286.16752,2171.83941,2256,3.87508347129588,0.122269999929081,121.74851592013
"Chichester",2123,2047.68,2058,2095,2252,7.49403341288783,1.48564073442878,34.8121811717422
"Gloucestershire",1538,1959,1959,2119,2238,5.61585653610193,9.8312526061465,41.3907897170335
"Peterborough",1479,1650,1571,1747,2230,27.6473955352032,10.8113312212384,60.9622744669218
"Warwick",3262,2101,1647,2062,2177,5.57710960232785,-9.6155711342614,67.3368388493659
"North Somerset",1470,1343,2436.40292,2232,2144,-3.94265232974911,9.89472879302822,54.974358974359
"Warwickshire",2725,2047,1889,1999,2132,6.65332666333167,-5.95078533414567,51.0658682634731
"Cheltenham",1716,1480,1897,1805,2071,14.7368421052632,4.81313325195263,43.7566025776463
"Oldham",494,535,2043,1949,2067,6.05438686505902,43.0221762076327,91.7036379769299
"Northumberland",2173,2046,1873,1845,2063,11.8157181571816,-1.29029013175657,114.866369710468
"Ashford",1289,1364,1104,1715.3899,2053.21103,19.6935478050792,12.3427803193665,70.5907826797279
"Somerset",1897,1858,1904,2052,2038,-0.682261208576989,1.80854064870335,91.2673533363188
"Aylesbury Vale",2225,2068,2028,1854,2027,9.3311758360302,-2.30306627593037,62.1207477781183
"Maidstone",1778,2061,1584,1884,2019,7.16560509554141,3.22886221247147,50.2488800398208
