"auth.name","2014","2015","2016","2017","2018","change"
"Brighton & Hove",18.642,20.075,21.213,23.42,26.012,11.067463706234
"Birmingham",9.699,9.816,11.129,11.183,13.586,21.4879728158812
"Nottingham",13.271,13.556,10.548,14.534,13.286,-8.58676207513417
"Milton Keynes",9.042,10.757,11.143,11.296,12.091,7.03788951841359
"Bristol",6.053,7.696,9.537,9.503,10.430214,9.75706618962433
"Cornwall",8.693,9.813,9.742,9.744,9.722,-0.225779967159284
"Manchester",7.915,8.919,7.751,9.368,9.659,3.10631938514089
"Newcastle upon Tyne",6.643,7.269,7.465,8.541,8.793,2.95047418335091
"Bournemouth",3.904,4.644,6.034,7.323,7.86,7.33306022122082
"Bath & North East Somerset",6.608,6.33635438246538,6.30169435374375,7.82428576611977,7.26404579465388,-7.16026980880237
"Guildford",6.556,7.298,7.562,7.343,6.899,-6.04657496935857
"Leeds",7.213,6.635,7.793,8.425,6.488,-22.9910979228487
"Cambridge",5.646,6.042,6.202,5.817,6.026,3.59291731132888
"Southampton",4.926,5.502,4.214,6.816,5.987,-12.162558685446
"York",5.558,5.609,5.843,5.447,5.788,6.26032678538647
"Exeter",4.172,4.644,4.596,5.08,5.787,13.9173228346457
"Torbay",3.359,3.478,4.06,3.797,5.359,41.1377403213063
"Canterbury",3.871,4.405,4.965,4.741,5.27,11.1579835477747
"Windsor & Maidenhead",3.053,4.045,4.543,4.833,5.266,8.95923856817711
"Southend-on-Sea",3.283,4.204,4.475,4.812,5.128,6.56691604322528
"Chelmsford",4.065,4.49,4.756,4.50109,4.89471,8.7449928795025
"Portsmouth",3.09,3.534,5.07,5.256,4.773,-9.18949771689498
"Herefordshire",2.613,3.644,3.193,4.21,4.663,10.7600950118765
"Winchester",4.249,3.94,4.083,4.5,4.651,3.35555555555555
"Reading",2.516,2.7372857210306,3.173,4.01049399,4.607,14.8736293206613
"Wiltshire",3.843,3.706,3.557,4.386,4.507,2.75877792977657
"Woking",4.822,4.91,4.83,4.547,4.45,-2.13327468660655
"Chichester",3.297,4.16865,4.247,4.303,4.217,-1.99860562398327
"Medway",2.978,3.098,3.05,5.019,4.214,-16.0390516039052
"Scarborough",3.55,3.887,3.861,3.941,3.969,0.710479573712263
"Tunbridge Wells",3.463,3.829,3.249,3.936,3.824,-2.84552845528455
"Blackpool",3.021,3.762,3.603,3.734,3.786,1.39260846277452
"Poole",2.754,2.636,2.9,3.873,3.732,-3.64058869093726
"Waverley",2.86,2.824,3.123,3.598,3.644,1.27848804891606
"Sheffield",2.572,3.46637838944247,3.95026983441182,3.454,3.623,4.89287782281413
"Isle of Wight",2.454,3.074,3.097,2.964,3.491,17.7800269905533
"Liverpool",2.686,2.703,3.253,4.017,3.316,-17.4508339556883
"Reigate and Banstead",1.56,1.29,2.066,2.299,3.178,38.2340147890387
"Gloucestershire",2.447,2.489,2.561,2.374,3.169,33.4877843302443
"Leicester City",2.45,2.417,2.454,2.328,3.125,34.2353951890034
"Swindon",3.181,3.332,2.922,3.101,3.096,-0.161238310222515
"King's Lynn & West Norfolk",2.482,2.431,2.902,2.707,3.086497,14.0190986331732
"Norwich",-0.011,2.986,2.808,2.849,3.073,7.86240786240786
"Shropshire",3.158,2.751,2.659,2.8008979266,2.9778641383,6.31819567644231
"Elmbridge",1.1,1.276,1.815,2.458,2.968341,20.7624491456469
"Taunton Deane",2.56,2.873,3.375,3.075,2.953,-3.96747967479675
"Lincoln",2.674,2.665,2.38,2.235,2.868,28.3221476510067
"Devon",2.256,2.636,2.917,3.12,2.835,-9.13461538461539
"Coventry",3.585,3.937,2.205,3.086,2.721,-11.8276085547634
"Derby City",1.973,3.152,3.38,3.38949,2.687,-20.7255368801796
"Cambridgeshire",-0.279,1.602,2.729,2.616,2.672098,2.14441896024465
"Cheltenham",2.071,2.367,2.192,2.368,2.662,12.4155405405405
"Cheshire East",2.029,2.07,1.719,1.63,2.634,61.5950920245399
"St Edmundsbury",2.918,2.915,2.998,3.126,2.622,-16.1228406909789
"Stevenage",2.346,2.202,2.5016,2.488,2.507,0.763665594855297
"West Berkshire",1.594,1.61,2.063,2.194,2.475,12.8076572470374
"Epsom & Ewell",2.056,2.216,2.769,2.457,2.443,-0.569800569800577
"Sefton",1.478,1.757,2.504,2.476,2.408,-2.74636510500808
"East Devon",2.065,2.202,2.283,2.22680307,2.372,6.52042077524169
"North Tyneside",1.351,1.767,2.258,1.72,2.372,37.906976744186
"Teignbridge",1.955,2.005,2.298,2.255,2.353,4.34589800443459
"Colchester",2.148,2.5,2.608,2.296,2.253,-1.87282229965156
"South Lakeland",2.335,1.971,2.828,2.498,2.246,-10.0880704563651
"Kingston upon Hull",2.129,2.687,1.703,2.242,2.168,-3.30062444246208
"Horsham",1.911,1.824,1.98,2.099,2.128,1.38161029061459
"Worcester",2.232,2.086,2.416,2.367,2.109,-10.8998732572877
"Christchurch",1.904,2,2.089,2.062,2.106,2.13385063045585
"Calderdale",0.889,1.235,1.711,2.036,2.09,2.65225933202358
"Warwickshire",0.595,1.809,1.954,1.926,2.043,6.0747663551402
"North Devon",1.71,1.832,2.154,2.119,2.033,-4.05851816894761
"Harrogate",2.14,2.229,2.406,2.142,2.018,-5.7889822595705
"Sevenoaks",1.894,1.976,1.658,1.811,2.012,11.0988404196576
"Weymouth & Portland",1.424,1.749,1.796,1.551513,2.002778,29.0854797865051
"Maidstone",1.511,1.557,1.969,2.004,1.999,-0.249500998003995
"Bedford",1.152,1.187,1.404,1.634,1.94747318010535,19.1844051472061
"Stockport",1.209,1.065,1.003,1.346,1.8951,40.7949479940564
"Solihull",1.807,1.872,2.266,2.36728314123458,1.88274605320549,-20.4680665184985
"Lancaster",1.652,1.613,1.719,1.688,1.882,11.4928909952607
"Northampton",0.953,0.73,0.956,1.037,1.844,77.8206364513019
"Trafford",0.462,0.573,0.969,1.665,1.84,10.5105105105105
"Oxford",4.864,3.736,3.72597,3.41889,1.818,-46.8248466607583
"East Lindsey",1.872,1.785,1.912,1.872,1.816,-2.99145299145299
"North Norfolk",1.484,1.508,1.755,1.724,1.808,4.87238979118329
"St Albans",1.486,1.545,1.443,1.753,1.78760063827685,1.97379568036816
"Kirklees",1.827,1.81,1.993,1.971,1.771,-10.1471334348047
"North Somerset",1.186,1.589,0.81508407,1.259,1.756,39.4757744241461
"East Riding of Yorkshire",0.916,1.169,1.308,1.358,1.748,28.7187039764359
"Derbyshire Dales",1.58,1.568,1.789,1.658,1.694,2.17129071170083
"New Forest",1.23,1.235,1.104,1.14,1.683,47.6315789473684
"Tonbridge & Malling",1.115,1.175,1.425,1.714,1.656,-3.38389731621938
"Thanet",0.313,0.46,0.713,0.6,1.637,172.833333333333
"Wychavon",1.654,1.749,2.075,1.737,1.62,-6.73575129533678
"Wolverhampton",1.599,1.883,1.409,1.826,1.609,-11.8838992332968
"Allerdale",1.219,1.105,1.186,0.996,1.596,60.2409638554217
"South Hams",1.527,1.795,1.836,1.489,1.596,7.18603089321692
"West Dorset",0,1.901,1.887,2.03231,1.537753,-24.3347225570902
"Waveney",0.816,0.866,1.237,1.229,1.537,25.0610252237591
"Cotswold",1.531,1.632,1.376,1.561,1.475,-5.50928891736066
"Eastleigh",1.399,1.37,1.485,1.129,1.475,30.6465899025686
"Mole Valley",1.129,0.877,1.181,1.386,1.474,6.34920634920636
"East Hertfordshire",1.001,1.119,0.844,1.311,1.47,12.1281464530892
"Ipswich",1.156,1.187,1.365,1.292,1.439,11.3777089783282
"Peterborough",2.045,2.207,2.159,1.381,1.428,3.40333091962346
"Lichfield",1.041,1.046,1.177,1.504,1.397,-7.11436170212765
"Tameside",0.957,0,0.64529501,1.501,1.365,-9.06062624916723
"Mid Sussex",1.281,1.311,1.295,1.225,1.362,11.1836734693878
"Basingstoke & Deane",1.27,1.275,1.234,1.367,1.356,-0.804681784930509
"Watford",0.974,1.356,1.269,0.413,1.353,227.602905569007
"Gravesham",1.043,1.163,1.193,1.223,1.343,9.81193785772689
"Havant",0.477,0.68,0.57939066,1.01478,1.338,31.8512386921303
"East Hampshire",1.063,1.279,1.178,1.4543986,1.324,-8.96580896048718
"Mendip",1.129,1.23971498,1.408,1.31800285,1.31540161,-0.197362243943559
"Spelthorne",0.51,0.907,0.422,0.38,1.283,237.631578947368
"Worthing",1.014,0.939,1.151,1.055,1.281,21.4218009478673
"Stratford-on-Avon",1.022,1.006,1.157,1.198,1.271,6.09348914858097
"Wokingham",0.793,1.116,1.23,0.7780502504,1.26,61.9432677198198
"Huntingdonshire",0.959,1.139,1.202,1.389,1.244,-10.4391648668107
"East Sussex",0.622,1.277,1.461,1.475,1.24,-15.9322033898305
"Aylesbury Vale",0.608,1.161,1.227,1.387,1.236,-10.8868060562365
"Wakefield",0.896,0.888,1.283158933264,0.976,1.232,26.2295081967213
"Bury",1.2,1.229,1.336,1.267,1.214,-4.18310970797158
"Craven",1.15,0.979,1.123,1.172,1.140065,-2.72482935153587
"Suffolk Coastal",0.892,0.843,0.999,1.001,1.13,12.8871128871129
"Darlington",1.351,1.282,1.208,1.171,1.128,-3.67207514944492
"Swale",0.892,1.058,1.315,1.228,1.114,-9.28338762214985
"Chiltern",0.917,1.105,1.196,1.158,1.085,-6.30397236614854
"Barnsley",0.674,0.748,0.887,0.914,1.076,17.7242888402626
"Chesterfield",1.223,1.185,1.062,0.946,1.071,13.2135306553911
"Lancashire",0.711,0.661,0.694,0.991,1.063,7.2653884964682
"South Somerset",0.955,1.187,1.207,1.081,1.061,-1.85013876040702
"Stafford",0.769,0.743,0.876,0.836,1.059,26.6746411483254
"Warwick",1.378,1.287,1.521,1.045,1.056,1.05263157894737
"Test Valley",1.318,1.26,1.326,1.236,1.049,-15.1294498381877
"Rother",0.729,0.843,0.905,0.851,1.031,21.1515863689777
"North Hertfordshire",1.337,1.119,1.221,0.884,1.027,16.1764705882353
"Cherwell",0.908,1.057,1.1818,0.928,1.023,10.2370689655172
"West Sussex",-0.256,-0.068,0.706,0.606,1.016,67.6567656765677
"Luton",1.28,1.406,1.137,1.33,1.013,-23.8345864661654
"North East Lincolnshire",0.527,0.845,0.926,1.031,1.011,-1.93986420950534
"Rochford",0.614,0.905,1.039,0.937,1.007,7.47065101387408
"Wirral",1.193,1.185,1.104,1.124,0.984,-12.4555160142349
"Central Bedfordshire",0,0.011,0.026,0.65,0.967,48.7692307692308
"Bolton",0.331,0.453,0.601,0.602,0.964,60.1328903654485
"Northamptonshire",0.266,0.43573899,0.555239316967193,1.24095298901092,0.923,-25.6216788086664
"Plymouth",0.483,0.518,0.685,0.859,0.91575461,6.60705587892897
"Maldon",0.323,0.457,0.578,0.919,0.91,-0.979325353645265
"Brentwood",0.712,0.747,0.858,0.861,0.90135,4.68641114982577
"Bradford",1.582,2.888,2.706,2.497,0.896,-64.1169403283941
"Hertsmere",0.327,0.463,0.549,0.643,0.888,38.1026438569207
"Nuneaton & Bedworth",0,1.091,1.082,1.067,0.857,-19.6813495782568
"Ashford",0.901,0.944,1.212,0.84680153,0.85539963,1.01536188769049
"Gloucester",0.79,0.872,0.737,0.966,0.836,-13.4575569358178
"South Tyneside",0.155,0.329,0.614,0.977,0.836,-14.431934493347
"Dacorum",0.734,0.577,0.489,0.653,0.822,25.8805513016845
"Sedgemoor",0.653,0.625,0.737,0.754,0.785,4.11140583554376
"Rushmoor",0.935,0.767,0.892,0.871,0.771,-11.4810562571757
"Great Yarmouth",0.583,0.861,0.935,0.663,0.77,16.1387631975867
"Epping Forest",0.395,0.601,0.582,0.587,0.762,29.8126064735945
"Tamworth",0.758,0.744,0.748,0.748,0.759,1.47058823529412
"High Peak",0.772,0.715,0.802,0.763,0.744,-2.49017038007864
"Arun",0.226,0.206,0.319,0.627,0.738,17.7033492822966
"South Bucks",0.538,0.622,0.704,0.791,0.737,-6.82680151706701
"Castle Point",0.329,0.404,0.551,0.626,0.718,14.6964856230032
"Fareham",1.299,1.260963,0.859,0.799,0.70412,-11.8748435544431
"Braintree",0.468,0.602,0.634,0.68,0.693,1.91176470588235
"Middlesborough",0.277,0.29,0.597,0.563,0.692,22.9129662522203
"Shepway",0.386,0.442,0.691,0.692,0.69,-0.289017341040463
"Dover",0.899,0.945,1.084,1.109,0.686,-38.1424706943192
"Salford",0.368,0.577,0.64,0.601,0.677,12.6455906821964
