"country","England without London","London","Scotland","Wales","Great Britain"
"Fiscal year","(2017-18)","(2017-18)","(2017-18)","(2017-18)","(2017-18)"
"Parking income","980.4","680.0","79.8","38.5","1778.6"
"Parking expenditure","513.3","273.8","38.5","24.1","849.7"
"Surplus","467.1","406.2","41.2","14.4","929.0"
"Surplus as proportion of income","0.4764221","0.5974019","0.5171787","0.3746129","0.5222966"
