"country","England without London","London","Scotland","Wales","Great Britain"
"Average annual change in income","3.793249","4.735561",NA,"5.099822","2.909754"
"Change in income since previous year","4.44775884","6.41765015",NA,"2.89671820","0.07443252"
"Average annual change in expenditure"," 1.64736468"," 0.46904592",NA," 1.98565712","-0.01649486"
"Change in expenditure since previous year"," 3.577538"," 5.081639",NA," 2.743729","-1.020136"
"Average annual change in surplus"," 6.439031"," 8.197532",NA,"11.601113"," 6.004397"
"Change in surplus since previous year","5.421135","7.337336",NA,"3.153139","1.095967"
