"country","England without London","London","Scotland","Wales","Great Britain"
"Average annual change in income","3.793249","4.735561","5.596310","5.099822","4.255424"
"Change in income since previous year","4.447759","6.417650","6.993842","2.896718","5.270708"
"Average annual change in expenditure","1.6473647","0.4690459","1.9839978","1.9856571","1.2843558"
"Change in expenditure since previous year","3.577538","5.081639","9.541692","2.743729","4.291855"
"Average annual change in surplus"," 6.439031"," 8.197532"," 9.636841","11.601113"," 7.401823"
"Change in surplus since previous year","5.421135","7.337336","4.719951","3.153139","6.182215"
