"country","England without London","London","Scotland","Wales","Great Britain"
"Fiscal year","(2016-17)","(2016-17)","(2016-17)","(2016-17)","(2016-17)"
"Parking income","938.68","638.97","82.58","37.41","1697.63"
"Parking expenditure","495.60","260.52","39.97","23.43","819.52"
"Surplus","443.08","378.45","42.60","13.98","878.11"
"Surplus as proportion of income","47.20232","59.22833","51.59427","37.36817","51.72568"
