"auth.name","2012","2013","2014","2015","2016","transport.total"
"Cardiff",2586,2924.485,3426,3494.027,3657.781,24484.54
"Swansea",1256,1256,1951,2402,2467,25041
"Gwynedd",804,797,927,1408,1355,16056
"Carmarthenshire",487.418,795.181,789.824,1393.989,1327.647,16495.95
"Conwy",560.206,579.63,659.213,1058.264,1019.329,8607.122
"Monmouthshire",460.702,584.635,740.696,930.895,928.622,6228.367
"Powys",357.9288,435.737,615,839,895,11137
"Denbighshire",677,541,484,458,658.053,8595.111
"Pembrokeshire",264,376,492,583,597,9628
"Rhondda Cynon Taf",477.956,393.047,545.239,496.67,530.72,16772.61
"Ceredigion",287.081,278.03,325.199,15.865,520.056,10515.36
"Bridgend",300.014,495.896,111.259,231.671,294.969,11210.22
"Isle of Anglesey",55,85,157,186,247,8494
"Wrexham",240.371,-149.1853,464.7642,315.9206,136.0446,9129.154
"Vale of Glamorgan",-238,53,151,108,132,9359
"Neath Port Talbot",246.594,245.427,186,208.29,118.256,13023.06
"Merthyr Tydfil",340.4448,200.7403,93.4749999999999,171.254,103.767,5731.751
"Caerphilly",162.235,211.3,198.23,190.09,17.16,14231.69
"Newport",-206.39,15.9200000000001,64.515,137.324,9.4609999999999,12047.67
"Torfaen",-39,-68,-51,-81,-72,8981
"Flintshire",-100.107,-510.656,-8.29910000000001,-422.852,-127.2221,18462.25
"Blaenau Gwent",-311.228,-244.125,-223.058,-310.438,-836.175,6269.454
