"country","England without London","London","Scotland","Wales","Great Britain"
"Average annual change in income","3.067466","3.474952","4.330866","5.304299","3.327311"
"Change in income since previous year","4.424402","7.175706","6.186508","4.447563","5.529753"
"Average annual change in expenditure","-0.09722247","-3.70173629"," 2.43405585"," 1.87239190","-1.15605029"
"Change in expenditure since previous year"," 3.391736","-1.517858"," 1.023580"," 6.487663"," 1.747515"
"Average annual change in surplus"," 7.297431","10.437146"," 6.282323","12.691229"," 8.622675"
"Change in surplus since previous year"," 5.604198","14.109846","11.534333"," 1.198055"," 9.322415"
