"rowname","2012","2013","2014","2015","2016","change"
"income.total",30.4231709,31.5487736,33.9148871,35.8171122,37.4101008,4.44756291658823
"expend.total",21.7549453,22.2527116,21.81583,22.0031426,23.4306323,6.48766281231119
"surplus.total",8.6682256,9.296062,12.0990571,13.8139696,13.9794685,1.19805461277403
"transport.total",314.685853,306.751212,278.887321,271.216321,270.500309,-0.264000336469422
"surplus.of.transport",2.75456475636355,3.03048908572853,4.33833171641388,5.09334008700752,5.16800463248269,1.4659249961657
