"rowname","2012","2013","2014","2015","2016","change"
"income.total",69.696,73.341,75.38,77.766,82.577,6.18650824267675
"expend.total",36.306,39.91,39.254,39.567,39.972,1.02358025627419
"surplus.total",33.39,33.431,36.126,38.199,42.605,11.534333359512
"transport.total",487.278,460.368,419.595,439.673,412.869,-6.0963488774612
"surplus.of.transport",6.85235122455764,7.26179925624718,8.60973081185429,8.68804770818313,10.3192538068976,18.7752893803524
