"country","England without London","London","Scotland","Wales","Great Britain"
"Fiscal year","(2016-17)","(2016-17)","(2016-17)","(2016-17)","(2016-17)"
"Parking income"," 938.6795"," 638.9680","  82.5770","  37.4101","1697.6345"
"Parking expenditure","495.60096","260.51793"," 39.97200"," 23.43063","819.52152"
"Surplus","443.07851","378.45002"," 42.60500"," 13.97947","878.11300"
"Surplus as proportion of income","47.20232","59.22833","51.59427","37.36817","51.72568"
