"country","England without London","London","Scotland","Wales","Great Britain"
"Average annual change in income","3.067466","3.474952","4.871874","5.304299","3.345105"
"Change in income since previous year","4.424402","7.175706","7.522864","4.447563","5.584178"
"Average annual change in expenditure","-0.09722247","-3.70173629"," 1.90918562"," 1.87239190","-1.19465106"
"Change in expenditure since previous year"," 3.391736","-1.517858"," 1.328913"," 6.487663"," 1.765156"
"Average annual change in surplus"," 7.297431","10.437146"," 7.923552","12.691229"," 8.711252"
"Change in surplus since previous year"," 5.604198","14.109846","13.727189"," 1.198055"," 9.407517"
