"auth.name","2014","2015","2016","2017","2018","transport.total"
"Cardiff",3426,3494.027,3657.781,3864.867,4448.158,22753.01
"Swansea",1951,2402,2467,2844.895,3280.923,22365.63
"Gwynedd",927,1408,1355,1382,1562,14725
"Conwy",659.213,1058.264,1019.329,949.307,1168.698,8053.297
"Carmarthenshire",789.824,1393.989,1327.647,920.176,957.179,16776.27
"Powys",615,839,895,831.251,860.117,12248.57
"Pembrokeshire",492,583,597,597,803,9469
"Monmouthshire",740.696,930.895,928.622,863.961,778.198,5618.675
"Ceredigion",325.199,15.865,520.056,487.802,486.015,10401.86
"Denbighshire",484,458,658.053,464.066,445.238,9565.399
"Wrexham",464.7642,315.9206,136.0446,300.7016,402.687,7849.235
"Flintshire",-8.29910000000001,-422.852,-127.2221,-107.574,321.412,18662.31
"Isle of Anglesey",157,186,247,288,303,8285
"Merthyr Tydfil",93.4749999999999,171.254,103.767,214.834,279.725,5227.276
"Bridgend",111.259,231.671,294.969,250.039,204.34,12271.85
"Newport",64.515,137.324,9.4609999999999,305.583,181.212,11807.04
"Neath Port Talbot",186,208.29,118.256,168.26,172.614,13780.76
"Vale of Glamorgan",151,108,132,51,101,8661.95
"Rhondda Cynon Taf",545.239,496.67,530.72,184.162,69.144,18619.9
"Torfaen",-51,-81,-72,-78,-115,7992
"Caerphilly",198.23,190.09,17.16,90.994,-301.865,16366.66
"Blaenau Gwent",-223.058,-310.438,-836.175,-453.064,-323.1569,5573.199
