"rowname","2014","2015","2016","2017","2018","change"
"income.total",33.9148871,35.8171122,37.4101008,38.493766,41.929017,8.92417489107198
"expend.total",21.81583,22.0031426,23.4306323,24.0735054,25.8443789,7.35610984181805
"surplus.total",12.0990571,13.8139696,13.9794685,14.4202606,16.0846381,11.5419377372417
"transport.total",278.887321,271.216321,270.500309,265.292941,267.073891,0.671314507384508
"surplus.of.transport",4.33833171641388,5.09334008700752,5.16800463248269,5.43559905727005,6.02254231582675,10.7981337911902
