"auth.name","2014","2015","2016","2017","2018","change","change.4"
"Cardiff",6900,7256.977,7598.742,8629.129,9739.051,12.8625032723465,8.99758794048793
"Swansea",5171,5446,5666,5931.514,6978.206,17.6462872716814,7.78102564470964
"Carmarthenshire",2815.358,3105.993,3091.909,3035.068,2882.176,-5.03751481021185,0.588126086943741
"Gwynedd",2027,2538,2490,2539,2697,6.22292241039779,7.40062271616215
"Conwy",1419.135,1886.046,1935.267,1903.485,2226.772,16.9839531175712,11.9213680792951
"Pembrokeshire",1521,1783,1867,1916,2173,13.4133611691023,9.32830829981384
"Powys",1363,1602,1684,1652.771,1682.738,1.81313684714944,5.40959909672145
"Neath Port Talbot",1494,1376.046,1374.55,1499.981,1652.472,10.1661954384755,2.55241169014777
"Denbighshire",1251,1300,1710.687,1516.686,1514.699,-0.131009319002075,4.89801190716175
"Monmouthshire",1250.408,1420.871,1522.203,1534.746,1445.502,-5.81490357362065,3.69116127467097
"Rhondda Cynon Taf",1409.513,1291.035,1321.516,1089.778,1323.964,21.489330854541,-1.55316177517765
"Bridgend",1267.642,1219.9,1127.487,1138.637,1211.064,6.3608507364507,-1.13498908642565
"Wrexham",1044.501,896.2518,974.097,1112.864,1067.222,-4.10130977370102,0.53944356653266
"Ceredigion",1150.479,980.259,1108.664,1055.016,1058.19,0.300848517937169,-2.0687632082159
"Vale of Glamorgan",788,686,764,737,807,9.49796472184532,0.597416919465399
"Flintshire",450.0001,438.855,598.6638,570.91,721.118,26.3102765759927,12.5118929434812
"Caerphilly",721,702,675,641.423,688.405,7.32465159496931,-1.14988296817891
"Merthyr Tydfil",744.608,689.98,607.813,725.231,683.738,-5.7213494734781,-2.10950945332224
"Isle of Anglesey",456,523,605,639,682,6.72926447574336,10.5872053135526
"Newport",620.76,639.8984,642.502,591.316,649.2,9.78901298121477,1.12620198583957
"Blaenau Gwent",38.483,30,30,30.211,39.5,30.7470788785542,0.654232979606095
"Torfaen",12,5,15,4,6,50,-15.9103584746286
"Total",33914.8871,35817.1122,37410.1008,38493.766,41929.017,8.92417489107196,5.44623465451803
