"auth.name","2013","2014","2015","2016","2017","change"
"Westminster",51.037,46.426,55.87491623,73.191100015,57.5823951,-21.3259602763193
"Kensington & Chelsea",33.512,32.997,34.237,32.174,34.467,7.12687263007397
"Wandsworth",19.692,20.35,21.174,20.506,24.216,18.092265678338
"Hammersmith & Fulham",22.96,23.787,22.672,23.077,23.817,3.2066559778134
"Islington",10.381,13.732,15.532,19.111,20.514,7.34132175187066
"Camden",24.869,24.468,25.228,26.75119944,19.599,-26.7359953561768
"Newham",7.202,7.327,7.692,8.886348,18.977,113.552293923218
"Haringey",5.7,16.145,14.917,14.6350809212565,16.8408151721751,15.0715548672847
"Hackney",8.219,10.758,12.92,14.505,15.613,7.63874526025508
"City of London",5.569,5.881,5.264,6.549,14.383,119.621316231486
"Merton",7.015,7.226,6.68079,10.227,12.279,20.0645350542681
"Hounslow",7.814,7.655,7.19566666666667,11.972,12.243,2.26361510190445
"Lambeth",7.219,9.683,9.942,11.92346343,12.14256215,1.83754260065692
"Brent",8.31,10.506,7.95355768,10.534,11.87,12.682741598633
"Barnet",7.879,0.346,6.703,8.643,10.6897810123124,23.6813723511793
"Tower Hamlets",8.318,10.038,9.47888534,9.504,10.59081801,11.4353746843434
"Richmond upon Thames",7.04,6.328,7.462,8.262,9.815,18.79690147664
"Croydon",3.113,4.352,4.176,6.70276503,7.69870288,14.8586120137349
"Kingston upon Thames",5.752,5.348,5.594,6.646,7.52,13.1507673788745
"Redbridge",3.822,3.028,3.423,5.323,7.493,40.7664850648131
"Harrow",6.448,6.564,7.368319886,8.541980095,7.0474190867,-17.4966575861589
"Southwark",3.956,1.457,5.173,6.876,6.891,0.218150087260027
"Waltham Forest",3.152,3.325,5.725,5.15,6.842,32.8543689320388
"Ealing",4.709,6.444,4.468,-0.637,6.811,NA
"Bromley",5.57,5.566,5.912,6.123,6.196,1.19222603299036
"Lewisham",5.265,4.531,4.887,5.414,6.006,10.9346139637976
"Havering",0.424,0.411,1.941,2.271,4.772,110.127697049758
"Greenwich",1.95,2.204,2.202,3.434,3.422,-0.349446709376822
"Barking & Dagenham",2.147,2.823,3.138,3.12,3.28,5.12820512820513
"Bexley",1.652,1.959,1.894,2.772,3.071,10.7864357864358
"Hillingdon",1.196,1.671,1.901,2.286,2.38928246,4.51804286964128
"Sutton",1.849,1.468,1.613,1.736,1.488,-14.2857142857143
"Enfield",2.667,2.925,1.312,2.2400852248781,-0.348605587,NA
"Total deficit",NA,NA,NA,-0.637,-0.348605587,-45.2738481946625
"Total surplus",296.408,307.729,331.654135802667,379.087022156135,406.566775871188,7.2489302215508
"Total",296.408,307.729,331.654135802667,378.450022156135,406.218170284188,7.33733557996645
