"auth.name","2013","2014","2015","2016","2017","change","change.4"
"Brighton & Hove",25.806,27.139,28.669,30.335,32.56,7.33476182627328,5.98415115359014
"Nottingham",18.901,19.661,20.883,15.589,20.558,31.8750400923728,2.12310713331243
"Birmingham",18.296,19.176,18.317,20.237,19.733,-2.49048772051192,1.90822589117627
"Bristol",13.34,13.497,16.46,17.216,18.358,6.63336431226766,8.30970774944932
"Newcastle upon Tyne",14.267,13.954,15.095,16.944,17.439,2.92138810198301,5.147083037828
"Manchester",14.772,16.066,15.485,14.465,16.932,17.0549602488766,3.47066498192454
"Cornwall",14.272,14.867,15.749,15.937,15.874,-0.395306519420217,2.69525668013051
"Milton Keynes",11.361,11.918,13.822,13.876,14.039,1.17469011242433,5.43381070440174
"Leeds",12.616,12.752,11.198,12.584,13.467,7.01684678957406,1.64529835055518
"Bournemouth",8.472,8.951,9.897,11.079,12.994,17.2849535156602,11.2856659000834
"Guildford",11.1,11.459,12.084,12.321,12.427,0.860319779238708,2.86338926894452
"Bath & North East Somerset",10.438,10.246,10.4519302797227,10.5729950101665,12.216030730799,15.5399271356184,4.01074473514413
"Liverpool",7.858,8.772,8.821,9.484,11.747,23.8612399831295,10.574182208024
"Colchester",10.161,10.264,10.533,10.788,11.059,2.5120504263997,2.13976438024324
"Norwich",3.483,3.844,9.228,9.895,10.509,6.20515411824154,31.7959240550521
"Portsmouth",6.692,7.542,8.347,9.72,10.413,7.12962962962962,11.6876065135425
"Cambridge",8.926,9.819,10.364,10.386,10.136,-2.40708646254573,3.22916866258547
"Southampton",7.038,7.347,8.558,7.214,9.655,33.8369836429166,8.22454133317501
"Canterbury",7.412,8.228,8.492,9.74,9.507,-2.39219712525667,6.42092288444733
"Medway",5.93,6.041,5.953,6.389,8.756,37.0480513382376,10.2332888355849
"Woking",7.231,8.15,8.351,8.302,8.228,-0.891351481570695,3.28184331649246
"Sheffield",8.116,8.094,8.26491611704912,8.3584035217157,8.187,-2.05067296966924,0.217989964161114
"Windsor & Maidenhead",6.645,6.7,7.314,8.173,8.106,-0.819772421387498,5.09399550535858
"York",7.172,7.901,8.084,8.29,8.025,-3.19662243667067,2.84926444076379
"Southend-on-Sea",6.965,7.008,7.574,7.399,7.633,3.16258953912691,2.3159957967807
"Wiltshire",7.444,7.665,7.616,7.715,7.602,-1.4646791963707,0.526456733561087
"Chelmsford",6.235,7.863,7.347,7.862,7.59758,-3.36326634444161,5.06539702485673
