"auth.name","2013","2014","2015","2016","2017","change","change.4","prop.income"
"Westminster",29.589,27.875,20.53307455,15.009242325,31.24659359,108.182351336646,1.3720193322081,35.1761221767885
"Ealing",14.215,14.101,16.97,19.2,17.703,-7.796875,5.63917511002736,72.2158766419189
"Camden",13.925,13.615,12.865,13.22430207,16.77,26.8119853224133,4.75734058110375,46.1106986719459
"Hammersmith & Fulham",11.775,12.567,12.932,12.344,12.915,4.62572909915748,2.33716310006586,35.1600784057498
"Islington",15.331,13.71,14.142,13.465,12.353,-8.25844782770146,-5.25626763953281,37.5848115130678
"Kensington & Chelsea",13.572,12.628,11.887,12.531,12.269,-2.09081477934723,-2.49175746902248,26.2517117425539
"Hackney",10.399,9.801,10.428,12.329,11.997,-2.69283802417067,3.63829752051754,43.45164795364
"Haringey",10.597,9.689,10.455,11.2693456207435,10.6838735078249,-5.19526272972765,0.204321291621534,38.8156016296307
"Barnet",4.71,14.239,5.289,8.592,9.73233223768757,13.2720232505537,19.8944293000722,47.6558528422007
"City of London",5.886,5.24,5.616,5.426,9.671,78.2344268337633,13.2172968040574,40.2053712480253
"Waltham Forest",7.424,6.789,8.8,8.626,9.562,10.8509158358451,6.531414626055,58.2906608144355
"Lambeth",17.461,15.865,17.607,14.696,9.26371385,-36.9643858873163,-14.6548188013711,43.2756909702556
"Brent",5.436,7.311,10.55252004,9.76,9.228,-5.45081967213115,14.1450373245271,43.738743008816
"Tower Hamlets",7.758,7.938,8.31308413,9.039,8.66052631,-4.18711903971678,2.7894701803244,44.9866054341082
"Southwark",6.364,6.517,7.01,7.836,8.322,6.20214395099539,6.93611082213537,54.7032143561428
"Wandsworth",9.898,9.883,9.233,9.557,7.707,-19.3575389766663,-6.06347778645598,24.1424678131755
"Enfield",6.888,7.573,6.727,4.5928287151219,7.120843587,55.0426551627019,0.834599337598907,105.147568455214
"Havering",3.222,3.907,3.943,5.015,6.64,32.4027916251246,19.8148465346901,58.1843673326323
"Croydon",8.727,9.118,7.968,7.05599136,6.44259711,-8.69323981145011,-7.30656009459133,45.5587330341332
"Newham",8.796,8.248,8.682,9.1583,6.329,-30.8932880556435,-7.89939803224916,25.0098790800601
"Merton",4.383,4.738,5.083616,5.712,6.137,7.44047619047619,8.77927579802131,33.3242832319722
"Richmond upon Thames",4.917,5.079,4.984,5.242,5.7,8.73712323540634,3.76327290998608,36.7386400257815
"Greenwich",7.011,6.443,3.04,5.496,4.994,-9.13391557496362,-8.13139056935839,59.3393536121673
"Harrow",3.599,3.909,4.167205811,4.7869181912,4.938344336,3.16333262344808,8.23055376005846,41.2017504587751
"Hillingdon",8.162,5.428,5.439,4.873,4.84468328,-0.581094192489232,-12.2257352996876,66.9713329330752
"Kingston upon Thames",4.666,4.43,5.112,5.144,4.317,-16.0769828926905,-1.9247715206831,36.470389456788
"Redbridge",4.502,5.461,4.825,4.901,4.18,-14.7112834115487,-1.83815834421838,35.8091321853851
"Barking & Dagenham",3.902,3.883,4.006,3.254,3.534,8.60479409956976,-2.44605872058695,51.863809803346
"Bromley",4.754,4.99,5.629,5.097,3.532,-30.7043358838532,-7.1588782044591,36.3075657894737
"Lewisham",2.284,3.956,3.881,2.486,2.973,19.5897023330651,6.81314495374861,33.1105913798864
"Bexley",2.99,2.935,2.904,2.868,2.533,-11.6806136680614,-4.0619249382706,45.1998572448251
"Sutton",0.918,0.878,0.876,0.8,0.854,6.74999999999999,-1.7904327505664,36.464560204953
"Hounslow",4.619,5.209,4.63366666666667,1.132,0.603,-46.7314487632509,-39.8906076783022,4.69406819243344
"Total for London",268.68,273.953,264.533167197667,260.517928282065,273.756507808512,5.08163857042247,0.469045924366185,40.2598091705985
"Total for rest of England",479.898,481.268,478.117919119698,494.443964353412,512.126278100868,3.57620175838929,1.63821522665373,52.3940789718312
"Total for all of England",748.578,755.221,742.651086317365,754.961892635477,785.882785909381,4.0956892759133,1.22322714566938,47.4158781792305
