"auth.name","2013","2014","2015","2016","2017","change","change.4","prop.income"
"Brighton & Hove",7.716,8.497,8.594,9.122,9.14,0.197325147993865,4.32502421551693,28.0712530712531
"Newcastle upon Tyne",7.971,7.311,7.826,9.479,8.898,-6.12933853782044,2.78858748985471,51.0235678651299
"Bristol",5.845,7.444,8.764,7.679,8.855,15.3144940747493,10.9432828118384,48.235101862948
"Colchester",8.951,8.116,8.033,8.18,8.763,7.12713936430318,-0.529268060243493,79.2386291708111
"Birmingham",10.54,9.477,8.501,9.108,8.55,-6.12648221343873,-5.09668647723519,43.3284346019358
"Liverpool",6.766,6.086,6.118,6.231,7.73,24.0571336864067,3.38603387538761,65.8040350727845
"Norwich",3.541,3.855,6.242,7.087,7.66,8.08522647100325,21.2762363458047,72.8899038919022
"Manchester",6.752,8.151,6.566,6.714,7.564,12.6601131963062,2.8797195365827,44.6728088825892
"Cornwall",6.253,6.174,5.936,6.195,6.13,-1.0492332526231,-0.49543362487412,38.6166057704422
"Nottingham",6.837,6.39,7.327,5.041,6.024,19.5000991866693,-3.11537874917143,29.302461328923
"North Yorkshire",0.987,0.988,3.587,5.328,6.001,12.6313813813814,57.0278261671384,107.19899964273
"Buckinghamshire",1.871,1.882,1.628,2.442,5.99,145.290745290745,33.7636955536772,139.62703962704
"Cheshire West and Chester",4.63,4.759,5.403,5.28873383283854,5.735,8.43805306272982,5.49651367219248,89.7074925699984
"Bournemouth",5.259,5.047,5.253,5.045,5.671,12.408325074331,1.90350433660853,43.6432199476682
"Portsmouth",4.46,4.452,4.813,4.65,5.157,10.9032258064516,3.69685099113914,49.5246326707001
"Guildford",4.581,4.903,4.786,4.759,5.084,6.82916579113257,2.63874013112437,40.9109197714654
"Leeds",5.722,5.539,4.563,4.791,5.042,5.23898977249007,-3.11339301621577,37.439667334967
"Surrey",4.431,4.878,4.138,5.11,4.979,-2.56360078277888,2.95799915255133,104.688814129521
"Canterbury",4.299,4.357,4.087,4.775,4.766,-0.18848167539268,2.61164458516263,50.1314820658462
"Sheffield",4.582,5.522,4.79853772760665,4.40813368730389,4.733,7.36970191334669,0.813885861408137,57.8111640405521
"Essex",4.952,4.241,4.213,4.398,4.437,0.886766712141892,-2.7079849811952,103.813757604118
"Bath & North East Somerset",4.291,3.638,4.11557589725735,4.27130065642276,4.39174496467919,2.8198508591361,0.581856958734361,35.9506705693426
"Cambridge",3.817,4.173,4.322,4.184,4.319,3.22657743785851,3.13718198750861,42.6104972375691
"Oxford",3.653,3.354,3.481,3.57542,4.04102,13.0222463374932,2.55582483671741,54.1698224241311
"Stoke-on-Trent",2.797,3.03,3.41,3.578,4.029,12.6048071548351,9.5534857112149,87.4348958333333
"Cheshire East",3.062,2.95,3.14,3.571,3.857,8.00896107532904,5.94027919139792,70.2934208128303
"Oxfordshire",3.266,3.436,3.512,3.469,3.819,10.0893629287979,3.98803447651965,80.2310924369748
"Devon",1.886,4.401,4.031,3.527,3.746,6.20924298270484,18.7152526627737,54.5586950189339
"Medway",3.216,3.063,2.855,3.339,3.737,11.9197364480383,3.82495808252639,42.6793056190041
"Woking",3.228,3.328,3.441,3.472,3.681,6.01958525345623,3.33752907985787,44.7374817695673
"East Sussex",3.318,4.697,3.518,3.467,3.637,4.90337467551197,2.32146034976846,71.1463223787167
"East Hertfordshire",3.219,3.446,3.571,3.699,3.499,-5.40686672073532,2.10705291183797,72.7442827442828
"Leicester City",2.415,2.278,3.292,3.455,3.455,0,9.36610093819632,59.744077468442
