"auth.name","2013","2014","2015","2016","2017","change","change.4"
"Westminster",80.626,74.301,76.40799078,88.20034234,88.82898869,0.712748197253759,2.45187262407816
"Kensington & Chelsea",47.084,45.625,46.124,44.705,46.736,4.54311598255228,-0.185290497433954
"Hammersmith & Fulham",34.735,36.354,35.604,35.421,36.732,3.70119420682646,1.40732299040351
"Camden",38.794,38.083,38.093,39.97550151,36.369,-9.0217792742333,-1.60077008384926
"Islington",25.712,27.442,29.674,32.576,32.867,0.893295677799586,6.33005814078431
"Wandsworth",29.59,30.233,30.407,30.063,31.923,6.18700728470212,1.9153694559255
"Hackney",18.618,20.559,23.348,26.834,27.61,2.89185361854362,10.3527969772817
"Haringey",16.297,25.834,25.372,25.904426542,27.52468868,6.25476937454299,13.9996944997968
"Newham",15.998,15.575,16.374,18.044648,25.306,40.2410288080987,12.1474628432102
"Ealing",18.924,20.545,21.438,18.563,24.514,32.0583957334483,6.6842505318407
"City of London",11.455,11.121,10.88,11.975,24.054,100.868475991649,20.3782577064269
"Lambeth",24.68,25.548,27.549,26.61946343,21.406276,-19.5841191303832,-3.49518304378414
"Brent",13.746,17.817,18.50607772,20.294,21.098,3.96176209717156,11.3054006125542
"Barnet",12.589,14.585,11.992,17.235,20.42211325,18.4920989266028,12.8567037916095
"Tower Hamlets",16.076,17.976,17.79196947,18.543,19.25134432,3.82000927573749,4.60941321913781
"Merton",11.398,11.964,11.764406,15.939,18.416,15.5404981491938,12.74353907422
"Waltham Forest",10.576,10.114,14.525,13.776,16.404,19.0766550522648,11.5981716884703
"Richmond upon Thames",11.957,11.407,12.446,13.504,15.515,14.8918838862559,6.72898706270983
"Southwark",10.32,7.974,12.183,14.712,15.213,3.40538336052202,10.1878710225308
"Croydon",11.84,13.47,12.144,13.75875639,14.14129999,2.78036465765203,4.54046036009703
"Hounslow",12.433,12.864,11.8293333333333,13.104,12.846,-1.96886446886447,0.82030246547522
"Harrow",10.047,10.473,11.535525697,13.3288982862,11.9857634227,-10.0768633285364,4.50987414613704
"Kingston upon Thames",10.418,9.778,10.706,11.79,11.837,0.398642917726889,3.2438814891522
"Redbridge",8.324,8.489,8.248,10.224,11.673,14.1725352112676,8.82097268811899
"Havering",3.646,4.318,5.884,7.286,11.412,56.6291517979687,33.0106067792484
"Bromley",10.324,10.556,11.541,11.22,9.728,-13.2976827094474,-1.47557895594007
"Lewisham",7.549,8.487,8.768,7.9,8.979,13.6582278481012,4.4322503698091
"Greenwich",8.961,8.647,5.242,8.93,8.416,-5.75587905935051,-1.5564396080419
"Hillingdon",9.358,7.099,7.34,7.159,7.23396574,1.0471537924291,-6.23336048470566
"Barking & Dagenham",6.049,6.706,7.144,6.374,6.814,6.90304361468466,3.02191921651704
"Enfield",9.555,10.498,8.039,6.83291394,6.772238,-0.887995085739362,-8.24592100508172
"Bexley",4.642,4.894,4.798,5.64,5.604,-0.638297872340416,4.82098769937338
"Sutton",2.767,2.346,2.489,2.536,2.342,-7.64984227129337,-4.08325485937839
"Total for London",565.088,581.682,596.187303000333,638.9679504382,679.9746780927,6.41765015387357,4.73556112629754
"Total for rest of England",842.385,859.703,896.160161262636,935.813474829868,977.450674104233,4.44930537914463,3.78774028178657
"Total for all of England",1407.473,1441.385,1492.34746426297,1574.78142526807,1657.42535219693,5.24796175537807,4.17139410991456
