"country","England without London","London","Scotland","Wales","Great Britain"
"Average annual change in income","2.619084","2.269986","3.719553","5.591436","2.603425"
"Change in income since previous year","4.263062","2.493683","3.165296","5.608820","3.576498"
"Average annual change in expenditure","-1.2338462","-4.4188802"," 2.9085771"," 0.3788554","-2.1053742"
"Change in expenditure since previous year","-0.6057016","-3.4384850"," 0.7973710"," 0.8586086","-1.4487693"
"Average annual change in surplus"," 7.867854"," 9.239372"," 4.587197","16.805358"," 8.390425"
"Change in surplus since previous year","10.443876"," 7.774742"," 5.738249","14.173935"," 9.157958"
