"country","England without London","London","Scotland","Wales","Great Britain"
"Fiscal year","(2015-16)","(2015-16)","(2015-16)","(2015-16)","(2015-16)"
"Parking income","898.91","596.19","77.77","35.82","1608.68"
"Parking expenditure","479.34","264.53","39.57","22.00","805.45"
"Surplus","419.57","331.65","38.20","13.81","803.23"
"Surplus as proportion of income","46.67498","55.62918","49.12044","38.56807","49.93119"
