"auth.name","2011","2012","2013","2014","2015","change","change.4"
"Cardiff",6063,6178,6612.819,6900,7256.977,5.17357971014492,4.59647402681658
"Swansea",4610,4422,4618,5171,5446,5.31812028621157,4.25434831856077
"Carmarthenshire",2148.468,2137.105,2447.559,2815.358,3105.993,10.3231986837908,9.65233791392264
"Gwynedd",1968,2098,2097,2027,2538,25.2096694622595,6.56550096755019
"Conwy",1381.567,1367.809,1391.697,1419.135,1886.046,32.9010982041878,8.09238076745609
"Pembrokeshire",1334,1297,1360,1521,1783,17.2255095332018,7.52238235349965
"Powys",1251.317,1206.891,1196.459,1363,1602,17.5348495964784,6.37113462497689
"Monmouthshire",1260.321,1146.71,1182.541,1250.408,1420.871,13.6325903225188,3.04297037587347
"Neath Port Talbot",1664,1736,1507.012,1494,1376.046,-7.89518072289156,-4.63919521851636
"Denbighshire",1495.248,1458,1300,1251,1300,3.91686650679457,-3.43771580055653
"Rhondda Cynon Taf",1084.802,1290.361,1384.112,1409.513,1291.035,-8.40559824563518,4.44721990037915
"Bridgend",1057.613,1137.688,1356.798,1267.642,1219.9,-3.76620528508838,3.63330837109611
"Ceredigion",878.576,1032.172,1122.81,1150.479,980.259,-14.7955764511999,2.77568397746614
"Wrexham",1131.96,846.987,154.977,1044.501,896.2518,-14.1933037881247,-5.67002048999319
"Caerphilly",647,659.235,702,721,702,-2.63522884882108,2.06062131597156
"Merthyr Tydfil",726.8506,885.0389,831.6895,744.608,689.98,-7.33647771713437,-1.29302621601045
"Vale of Glamorgan",319,318,955,788,686,-12.9441624365482,21.0969927203879
"Newport",746,660.439,604.873,620.76,639.8984,3.08305947548166,-3.76278440344183
"Isle of Anglesey",344,330,388,456,523,14.6929824561403,11.0416257377123
"Flintshire",219,208.735,296.4271,450.0001,438.855,-2.47668833851369,18.9787040020795
"Blaenau Gwent",0,0,30,38.483,30,-22.0434997271522,NA
"Torfaen",5,7,9,12,5,-58.3333333333333,0
"Total",30335.7226,30423.1709,31548.7736,33914.8871,35817.1122,5.60882038141888,4.23991672591262
