"country","England without London","London","Scotland","Wales","Great Britain"
"Fiscal year","(2015-16)","(2015-16)","(2015-16)","(2015-16)","(2015-16)"
"Parking income","898.9","596.2","69.3","35.8","1600.2"
"Parking expenditure","479.3","264.5","34.7","22.0","800.6"
"Surplus","419.6","331.7","34.6","13.8","799.7"
"Surplus as proportion of income","0.4667498","0.5562918","0.4995817","0.3856807","0.4997176"
