"rowname","2011","2012","2013","2014","2015","change"
"income.total",30.3357226,30.4231709,31.5487736,33.9148871,35.8171122,5.60882038141888
"expend.total",21.0588877,21.7549453,22.2527116,21.81583,22.0031426,0.858608634189025
"surplus.total",9.2768349,8.6682256,9.296062,12.0990571,13.8139696,14.1739350911899
"transport.total",317.902348,314.685853,306.751212,278.887321,271.216321,-2.75057323240593
"surplus.of.transport",2.91813978674986,2.75456475636355,3.03048908572853,4.33833171641388,5.09334008700752,17.4031959736296
