"auth.name","2011","2012","2013","2014","2015","change","change.4","prop.income"
"Cardiff",3275,3592,3688.334,3474,3762.95,8.31750143926309,3.53311619650394,51.852858290718
"Swansea",3184,3166,3362,3220,3044,-5.46583850931677,-1.11785079185663,55.894234300404
"Carmarthenshire",1761.182,1649.687,1652.378,2025.534,1712.004,-15.4788811246812,-0.705513495060046,55.1193772812753
"Pembrokeshire",1072,1033,984,1029,1200,16.6180758017493,2.8600225446163,67.3022994952328
"Neath Port Talbot",1381,1489.406,1261.585,1308,1167.756,-10.7220183486239,-4.10640349813819,84.8631513772069
"Gwynedd",1276,1294,1300,1100,1130,2.72727272727273,-2.99213594603033,44.5232466509062
"Bridgend",621.582,837.674,860.902,1156.383,988.229,-14.5413759973988,12.2896662964171,81.0090171325518
"Ceredigion",527.316,745.091,844.78,825.28,964.394,16.8565820085304,16.2909417842272,98.3815501821457
"Flintshire",331,308.842,807.0831,458.2992,861.707,88.0228025708969,27.0231582888544,196.353465267571
"Denbighshire",753.849,781,759,767,842,9.77835723598435,2.80327072167303,64.7692307692308
"Conwy",923.766,807.603,812.067,759.922,827.782,8.92986385444823,-2.70545280522214,43.8898096865082
"Rhondda Cynon Taf",731.793,812.405,991.065,864.274,794.365,-8.08875426080155,2.07231447772726,61.5293156266097
"Powys",1006.31,848.9622,760.722,748,763,2.00534759358288,-6.68570325623314,47.6279650436954
"Wrexham",611.76,606.616,304.1623,579.7368,580.3312,0.102529285703445,-1.30987235610198,64.7509104026346
"Vale of Glamorgan",442,556,902,637,578,-9.26216640502355,6.93660504213378,84.2565597667638
"Merthyr Tydfil",589.8187,544.5941,630.9492,651.133,518.726,-20.3348624628148,-3.15998015879313,75.1798602858054
"Caerphilly",415,497,490.7,522.77,511.91,-2.07739541289668,5.38683919780351,72.9216524216524
"Newport",937,866.829,588.953,556.245,502.5744,-9.64873392120378,-14.4213969444382,78.5397181802611
"Monmouthshire",541.793,686.008,597.906,509.712,489.976,-3.87199045735631,-2.48187227087908,34.4842001842532
"Blaenau Gwent",284.718,311.228,274.125,261.541,340.438,30.1662072103418,4.56967940506306,1134.79333333333
"Isle of Anglesey",293,275,303,299,337,12.7090301003344,3.5596490811737,64.4359464627151
"Torfaen",99,46,77,63,86,36.5079365079365,-3.45810612868409,1720
"Total",21058.8877,21754.9453,22252.7116,21815.83,22003.1426,0.858608634189006,1.10259928690246,61.4319280603532
